opción,sentence_id,sentence,rel_score
1,s_2661_1060_2,You do not have to feel guilty,0
1,s_2023_1126_0,You shouldnt feel guilty.,0
1,s_1514_795_291,"You feel guilty, too.""",0
1,s_2056_126_6,no reason to feel guilty i dont think,1
1,s_1404_172_0,I feel guilty,1
1,s_2349_822_0,Do you feel guilty?,0
1,s_1701_491_0,you should feel guilty for feeling guilty for this.,0
1,s_1147_794_1,I don't feel bad at all in all honesty.,0
1,s_1899_203_41,I FEEL super guilty.,1
1,s_134_65_18,You feel guilty.,0
2,s_1194_31_1,i feel so guilty about everything.,1
2,s_616_24_11,Ive done some terrible things in my life that I carry extreme guilt for.,1
2,s_2904_670_4,My mind is always looking for reasons to feel bad and guilty.,1
2,s_1625_630_1,"When I think of all the harm I caused, the poor choices I made, in the past, I feel so ashamed.",1
2,s_1701_299_0,feel guilty for feeling guilty,0
2,s_1683_30_1,Sometimes our guilt lingers beyond being able to comprehend what we have done or could have done.,0
2,s_1794_36_1,i can relate to feeling guilty over just about anything; i dont know why but guilt has always been a huge part of my anxiety issues.,1
2,s_1271_568_0,I experience a lot of guilt as well primarily about breakdowns due to OCD and not living my life to the full and feeling not good enough.,1
2,s_1225_0_0,Why feel guilty?,0
2,s_2958_228_3,I've lashed out at some people close to me and I feel a great amount of guilt about what happened.,1
3,s_1551_22_6,I feel guilty about it every damn second,1
3,s_1194_31_1,i feel so guilty about everything.,1
3,s_1514_795_291,"You feel guilty, too.""",0
3,s_267_865_1,I feel pretty guilty when I think about doing the deed right now.,1
3,s_1548_94_1,Do you feel guilty about it?,0
3,s_1738_352_5,I don't experience guilt but only shame.,1
3,s_2401_29_1,Then i feel guilty about it.,1
3,s_2904_670_4,My mind is always looking for reasons to feel bad and guilty.,1
3,s_134_65_18,You feel guilty.,0
3,s_2349_822_0,Do you feel guilty?,0
4,s_1194_31_1,i feel so guilty about everything.,1
4,s_2904_670_4,My mind is always looking for reasons to feel bad and guilty.,1
4,s_1701_299_0,feel guilty for feeling guilty,0
4,s_1551_22_6,I feel guilty about it every damn second,1
4,s_1225_0_0,Why feel guilty?,0
4,s_1514_795_291,"You feel guilty, too.""",0
4,s_53_198_1,Find the root of that guilt and figure out why you have it.,0
4,s_117_79_0,"Yes, feeling guilty is absolutely normal.",0
4,s_1404_218_6,I dont want to suicide because I would feel guilty.,0
4,s_2184_536_11,I already feel guilty enough as it is.,1
