opción,sentence_id,sentence,rel_score
1,s_552_111_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_652_75,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_251_79,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_118_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_157_85,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_45_80,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_472_74,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_552_545_73,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
1,s_1609_57_1,"I used to enjoy learning, spending time with friends, pleasing my parents, etc.",1
1,s_1404_675_0,"Since I stopped enjoying activities, the urge to do them is stronger and I rather get addicted now despite not enjoying it at all.",1
2,s_993_959_4,I have lost interest in everything it seems.,1
2,s_552_111_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_652_75,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_251_79,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_118_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_157_85,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_45_80,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_472_74,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_552_545_73,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
2,s_2007_76_2,I can't feel something to people the way I did before.,1
3,s_993_959_4,I have lost interest in everything it seems.,1
3,s_552_111_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_652_75,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_251_79,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_118_76,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_157_85,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_45_80,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_472_74,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_552_545_73,You may also experience a loss of interest in people you once enjoyed spending time with and activities you used to like.,0
3,s_258_411_8,I was always an avid reader and writer and now I just have no interests at all; no care to even develop an interest; no personality.,1
4,s_1473_5_1,I just can't get into it as much as I hoped.,0
4,s_1958_868_3,I'm not really able to keep my interest at a low enough level to work through the things I should probably be learning.,1
4,s_3044_672_0,"On my part, it's not lack of interest, it's just being totally flabbergasted.",0
4,s_993_839_10,Although right now nothing interests me much.,1
4,s_682_610_0,I have moderate level of interest across many different things but no undying love for it tho,1
4,s_2618_440_0,"I've tried so hard to get into it, I just can't and I feel weirdly bad about it.",0
4,s_993_959_4,I have lost interest in everything it seems.,1
4,s_1601_747_12,"I could think that something they're interested in is boring for me, but the fact that they're into it is not.",0
4,s_1601_321_0,I have tried many times but I lose interest immediately.,1
4,s_666_11_3,My interests are varied but tbh I cant focus on much.,1
